time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter,.quality
2022/02/18/18:34:41.102259,860,1645227281,99596023,gps_data,42.337273333333336,-71.09247666666667,14.7,327620.54284444486,4689344.854212775,19,T,4
2022/02/18/18:34:42.097398,861,1645227282,95085620,gps_data,42.337275,-71.09247666666667,14.8,327620.547398553,4689345.039283447,19,T,4
2022/02/18/18:34:43.111509,862,1645227283,109495401,gps_data,42.337275,-71.09247666666667,14.8,327620.547398553,4689345.039283447,19,T,4
2022/02/18/18:34:44.088996,863,1645227284,86649894,gps_data,42.337273333333336,-71.092475,14.9,327620.6801511907,4689344.850834015,19,T,4
2022/02/18/18:34:45.104619,864,1645227285,104193210,gps_data,42.337273333333336,-71.092475,14.9,327620.6801511907,4689344.850834015,19,T,4
2022/02/18/18:34:46.065802,865,1645227286,65336465,gps_data,42.337273333333336,-71.092475,14.9,327620.6801511907,4689344.850834015,19,T,4
2022/02/18/18:34:47.123359,866,1645227287,121025085,gps_data,42.337273333333336,-71.092475,14.9,327620.6801511907,4689344.850834015,19,T,4
2022/02/18/18:34:48.076005,867,1645227288,75330257,gps_data,42.337273333333336,-71.09247166666667,14.9,327620.9547646802,4689344.844076502,19,T,4
2022/02/18/18:34:49.111276,868,1645227289,109033823,gps_data,42.337271666666666,-71.09247,15.0,327621.0875173303,4689344.655627076,19,T,4
2022/02/18/18:34:50.080477,869,1645227290,79853773,gps_data,42.337271666666666,-71.092465,15.0,327621.4994375743,4689344.6454908345,19,T,4
2022/02/18/18:34:51.115484,870,1645227291,112588405,gps_data,42.33727,-71.09245833333334,15.0,327622.04411049944,4689344.446905211,19,T,4
2022/02/18/18:34:52.085113,871,1645227292,83631753,gps_data,42.33727,-71.09245333333334,15.0,327622.4560307539,4689344.436769025,19,T,4
