time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter,.quality
2022/02/18/18:20:45.076544,219,1645226445,73777437,gps_data,42.33724333333333,-71.09256166666667,15.5,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:46.080574,220,1645226446,78126907,gps_data,42.33724333333333,-71.09256166666667,15.5,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:47.073036,221,1645226447,69780111,gps_data,42.33724333333333,-71.09256166666667,15.5,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:48.084548,222,1645226448,82729101,gps_data,42.33724333333333,-71.09256166666667,15.5,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:49.077354,223,1645226449,74248790,gps_data,42.33724333333333,-71.09256166666667,15.5,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:50.087121,224,1645226450,84414482,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:51.078201,225,1645226451,75850963,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:52.090244,226,1645226452,88032722,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:53.077871,227,1645226453,76609849,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:54.088498,228,1645226454,87982892,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:55.061757,229,1645226455,59182882,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:56.098218,230,1645226456,95847368,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:57.073801,231,1645226457,71462392,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:58.085833,232,1645226458,83873033,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:20:59.060171,233,1645226459,57576894,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:00.091955,234,1645226460,91375112,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:01.068472,235,1645226461,67102909,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:02.080606,236,1645226462,79556465,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:03.073230,237,1645226463,71871995,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:04.081766,238,1645226464,80883026,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:05.071860,239,1645226465,70119619,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:06.084404,240,1645226466,82870960,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:07.077071,241,1645226467,75473070,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:08.089526,242,1645226468,88027954,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:09.065721,243,1645226469,65118789,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:10.096957,244,1645226470,95268964,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:11.073251,245,1645226471,71640729,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:12.090298,246,1645226472,88855981,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:13.077745,247,1645226473,76215267,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:14.093055,248,1645226474,90791940,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:15.078875,249,1645226475,76819419,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:16.092653,250,1645226476,90083122,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:17.083911,251,1645226477,80657720,gps_data,42.33724333333333,-71.09256166666667,15.6,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:18.093356,252,1645226478,91267824,gps_data,42.33724333333333,-71.09256166666667,15.7,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:19.062037,253,1645226479,60333013,gps_data,42.33724333333333,-71.09256166666667,15.7,327613.45822320017,4689341.695261024,19,T,4
2022/02/18/18:21:20.095504,254,1645226480,94399452,gps_data,42.33724333333333,-71.09256166666667,15.7,327613.45822320017,4689341.695261024,19,T,4
