time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter,.quality
2022/02/18/17:31:33.087286,647,1645223493,83547592,gps_data,42.337176666666664,-71.09057333333334,13.1,327777.0832402769,4689330.263325537,19,T,4
2022/02/18/17:31:34.083111,648,1645223494,81508398,gps_data,42.337175,-71.09056833333334,13.1,327777.49061115284,4689330.068127848,19,T,4
2022/02/18/17:31:35.081369,649,1645223495,79185247,gps_data,42.33717333333333,-71.09055666666667,13.2,327778.4472098381,4689329.85942753,19,T,4
2022/02/18/17:31:36.079386,650,1645223496,77252864,gps_data,42.33717333333333,-71.09054666666667,13.1,327779.2710515186,4689329.839173634,19,T,4
2022/02/18/17:31:37.075951,651,1645223497,75474023,gps_data,42.33717333333333,-71.090535,13.2,327780.2322001422,4689329.81554421,19,T,4
2022/02/18/17:31:38.073430,652,1645223498,72027683,gps_data,42.33717333333333,-71.09052166666666,13.2,327781.33065571485,4689329.788539317,19,T,4
2022/02/18/17:31:39.087270,653,1645223499,86740493,gps_data,42.33717166666667,-71.09051,13.2,327782.28725452453,4689329.57983953,19,T,4
2022/02/18/17:31:40.068862,654,1645223500,66130876,gps_data,42.33717166666667,-71.09049833333333,13.2,327783.24840317364,4689329.556210523,19,T,4
2022/02/18/17:31:41.083836,655,1645223501,81640005,gps_data,42.33717333333333,-71.09048666666666,13.3,327784.2141015856,4689329.717652293,19,T,4
2022/02/18/17:31:42.079688,656,1645223502,77042579,gps_data,42.33717333333333,-71.09048,13.3,327784.7633293705,4689329.7041501375,19,T,4
2022/02/18/17:31:43.072201,657,1645223503,71878671,gps_data,42.33717333333333,-71.09047666666666,13.3,327785.0379432607,4689329.697399075,19,T,4
2022/02/18/17:31:44.068813,658,1645223504,67529916,gps_data,42.33717333333333,-71.09047333333334,13.3,327785.31255715294,4689329.690648024,19,T,4
2022/02/18/17:31:45.084779,659,1645223505,84356307,gps_data,42.33717166666667,-71.09047,13.2,327785.5826213178,4689329.498826338,19,T,4
2022/02/18/17:31:46.084429,660,1645223506,82974672,gps_data,42.33717166666667,-71.090465,13.3,327785.9945421659,4689329.488699798,19,T,4
2022/02/18/17:31:47.080726,661,1645223507,77180385,gps_data,42.33717166666667,-71.09046,13.3,327786.40646301385,4689329.478573282,19,T,4
2022/02/18/17:31:48.077137,662,1645223508,75207710,gps_data,42.33717166666667,-71.090455,13.3,327786.8183838616,4689329.46844679,19,T,4
2022/02/18/17:31:49.072139,663,1645223509,71627855,gps_data,42.33717333333333,-71.09045166666667,13.3,327787.09754744824,4689329.646766456,19,T,4
2022/02/18/17:31:50.075989,664,1645223510,73653221,gps_data,42.33717166666667,-71.09044833333333,13.3,327787.3676116599,4689329.454944839,19,T,4
2022/02/18/17:31:51.090148,665,1645223511,88664054,gps_data,42.33717333333333,-71.09044666666667,13.3,327787.50946828705,4689329.636640005,19,T,4
2022/02/18/17:31:52.068055,666,1645223512,66506147,gps_data,42.33717333333333,-71.09044333333334,13.3,327787.78408217675,4689329.6298890505,19,T,4
2022/02/18/17:31:53.081623,667,1645223513,80245494,gps_data,42.33717333333333,-71.09043833333334,13.3,327788.1960030133,4689329.6197626395,19,T,4
2022/02/18/17:31:54.085660,668,1645223514,83407640,gps_data,42.33717166666667,-71.090435,13.3,327788.4660672559,4689329.427941067,19,T,4
2022/02/18/17:31:55.080305,669,1645223515,79203367,gps_data,42.33717,-71.09043166666666,13.3,327788.73613150883,4689329.236119503,19,T,4
2022/02/18/17:31:56.082871,670,1645223516,80945491,gps_data,42.33716666666667,-71.09042833333334,13.2,327789.00164614234,4689328.859227303,19,T,4
2022/02/18/17:31:57.078557,671,1645223517,77984333,gps_data,42.337163333333336,-71.09043,13.3,327788.85523990385,4689328.492461462,19,T,4
2022/02/18/17:31:58.073556,672,1645223518,72992086,gps_data,42.33716,-71.09043,13.3,327788.8461406252,4689328.122320167,19,T,4
2022/02/18/17:31:59.068399,673,1645223519,67993640,gps_data,42.337156666666665,-71.09043166666666,13.3,327788.699734364,4689327.755554329,19,T,4
2022/02/18/17:32:00.085905,674,1645223520,83523035,gps_data,42.33715333333333,-71.09043333333334,13.3,327788.55332808883,4689327.388788492,19,T,4
2022/02/18/17:32:01.073790,675,1645223521,71616411,gps_data,42.33715,-71.09043333333334,13.3,327788.5442287974,4689327.0186472,19,T,4
2022/02/18/17:32:02.075719,676,1645223522,72619676,gps_data,42.33714666666667,-71.090435,13.3,327788.3978225058,4689326.651881366,19,T,4
2022/02/18/17:32:03.080507,677,1645223523,79547643,gps_data,42.33714333333333,-71.09043333333334,13.3,327788.5260302163,4689326.278364615,19,T,4
2022/02/18/17:32:04.080466,678,1645223524,78561067,gps_data,42.33714,-71.090435,13.3,327788.37962391134,4689325.91159878,19,T,4
2022/02/18/17:32:05.075624,679,1645223525,74060440,gps_data,42.337136666666666,-71.09043666666666,13.3,327788.2332175883,4689325.544832951,19,T,4
2022/02/18/17:32:06.073322,680,1645223526,71830511,gps_data,42.337131666666664,-71.09043666666666,13.3,327788.21956863394,4689324.989621012,19,T,4
2022/02/18/17:32:07.069335,681,1645223527,68151712,gps_data,42.33712833333333,-71.09043833333334,13.3,327788.0731622869,4689324.622855184,19,T,4
2022/02/18/17:32:08.086250,682,1645223528,85882902,gps_data,42.337125,-71.09043833333334,13.3,327788.064062978,4689324.252713892,19,T,4
2022/02/18/17:32:09.083986,683,1645223529,82232236,gps_data,42.33712166666667,-71.09043833333334,13.3,327788.05496366986,4689323.882572602,19,T,4
2022/02/18/17:32:10.081437,684,1645223530,80333232,gps_data,42.337118333333336,-71.09043833333334,13.3,327788.04586436215,4689323.512431311,19,T,4
2022/02/18/17:32:11.083814,685,1645223531,82467079,gps_data,42.337113333333335,-71.09044,13.3,327787.89490832627,4689322.96059484,19,T,4
2022/02/18/17:32:12.081592,686,1645223532,80275535,gps_data,42.33711,-71.09044,13.3,327787.8858090128,4689322.590453551,19,T,4
2022/02/18/17:32:13.078560,687,1645223533,77683210,gps_data,42.337106666666664,-71.09044,13.3,327787.8767096999,4689322.220312259,19,T,4
2022/02/18/17:32:14.072524,688,1645223534,72170019,gps_data,42.33710333333333,-71.09044166666666,13.3,327787.7303032903,4689321.853546437,19,T,4
2022/02/18/17:32:15.075051,689,1645223535,73199510,gps_data,42.3371,-71.09044166666666,13.3,327787.7212039714,4689321.483405149,19,T,4
2022/02/18/17:32:16.072977,690,1645223536,70452213,gps_data,42.337095,-71.09044333333334,13.3,327787.57024787646,4689320.931568684,19,T,4
2022/02/18/17:32:17.070374,691,1645223537,67917346,gps_data,42.33709,-71.09044333333334,13.3,327787.55659888964,4689320.37635675,19,T,4
2022/02/18/17:32:18.082887,692,1645223538,80720186,gps_data,42.337086666666664,-71.09044333333334,13.3,327787.54749956576,4689320.006215459,19,T,4
2022/02/18/17:32:19.081749,693,1645223539,80585718,gps_data,42.33708333333333,-71.090445,13.3,327787.4010930994,4689319.639449644,19,T,4
2022/02/18/17:32:20.080406,694,1645223540,78602790,gps_data,42.33707833333333,-71.090445,13.2,327787.38744410465,4689319.084237711,19,T,4
2022/02/18/17:32:21.072476,695,1645223541,71208477,gps_data,42.337073333333336,-71.090445,13.2,327787.3737951113,4689318.529025778,19,T,4
2022/02/18/17:32:22.086258,696,1645223542,83855390,gps_data,42.33707,-71.09044666666667,13.2,327787.2273886152,4689318.162259966,19,T,4
2022/02/18/17:32:23.077630,697,1645223543,76569080,gps_data,42.337066666666665,-71.09044666666667,13.2,327787.2182892803,4689317.792118677,19,T,4
2022/02/18/17:32:24.070763,698,1645223544,68516969,gps_data,42.33706333333333,-71.09044833333333,13.2,327787.07188275945,4689317.425352869,19,T,4
2022/02/18/17:32:25.081517,699,1645223545,79248189,gps_data,42.33706,-71.09044833333333,13.1,327787.06278341846,4689317.055211581,19,T,4
2022/02/18/17:32:26.072650,700,1645223546,70291042,gps_data,42.33705833333333,-71.09045,13.1,327786.92092655064,4689316.87351642,19,T,4
2022/02/18/17:32:27.068054,701,1645223547,66850662,gps_data,42.33705666666667,-71.09045333333333,13.1,327786.64176247874,4689316.695196749,19,T,4
2022/02/18/17:32:28.067002,702,1645223548,64861297,gps_data,42.33705833333333,-71.09045666666667,13.1,327786.3716977667,4689316.887018377,19,T,4
2022/02/18/17:32:29.078773,703,1645223549,76683282,gps_data,42.33705833333333,-71.09046,13.1,327786.0970833736,4689316.89376937,19,T,4
2022/02/18/17:32:30.071297,704,1645223550,69896936,gps_data,42.33705833333333,-71.09046333333333,13.1,327785.82246898254,4689316.900520376,19,T,4
2022/02/18/17:32:31.065778,705,1645223551,65050601,gps_data,42.33705833333333,-71.09046666666667,13.1,327785.5478545873,4689316.907271393,19,T,4
2022/02/18/17:32:32.082339,706,1645223552,79590082,gps_data,42.33706,-71.09047166666667,13.1,327785.14048271964,4689317.10246858,19,T,4
2022/02/18/17:32:33.076183,707,1645223553,75759649,gps_data,42.33706,-71.09047666666666,13.1,327784.7285611415,4689317.112595149,19,T,4
2022/02/18/17:32:34.072278,708,1645223554,70843696,gps_data,42.33706,-71.09048166666666,13.1,327784.3166395633,4689317.122721742,19,T,4
2022/02/18/17:32:35.084179,709,1645223555,83944797,gps_data,42.33706166666666,-71.09048833333334,13.1,327783.77196054836,4689317.321294547,19,T,4
2022/02/18/17:32:36.084631,710,1645223556,82310199,gps_data,42.33706166666666,-71.090495,13.1,327783.22273179016,4689317.334796752,19,T,4
2022/02/18/17:32:37.080023,711,1645223557,77920913,gps_data,42.33706166666666,-71.0905,13.1,327782.8108102224,4689317.344923434,19,T,4
2022/02/18/17:32:38.082209,712,1645223558,80003261,gps_data,42.33706333333333,-71.09050666666667,13.1,327782.2661312615,4689317.543496359,19,T,4
2022/02/18/17:32:39.079111,713,1645223559,77756643,gps_data,42.33706333333333,-71.09051166666667,13.1,327781.85420970427,4689317.553623096,19,T,4
2022/02/18/17:32:40.075430,714,1645223560,73096275,gps_data,42.33706333333333,-71.09051666666667,13.1,327781.442288147,4689317.563749859,19,T,4
2022/02/18/17:32:41.070468,715,1645223561,67943572,gps_data,42.33706333333333,-71.09052333333334,13.1,327780.89305940235,4689317.577252247,19,T,4
2022/02/18/17:32:42.072266,716,1645223562,69980621,gps_data,42.337065,-71.09052666666666,13.1,327780.62299487344,4689317.769074104,19,T,4
2022/02/18/17:32:43.090232,717,1645223563,89230775,gps_data,42.33706333333333,-71.09053,13.1,327780.34383065964,4689317.5907546785,19,T,4
2022/02/18/17:32:44.074206,718,1645223564,72041034,gps_data,42.337065,-71.09053333333334,13.1,327780.073766143,4689317.782576555,19,T,4
2022/02/18/17:32:45.073270,719,1645223565,70940732,gps_data,42.337065,-71.09053666666667,13.1,327779.7991517798,4689317.789327799,19,T,4
2022/02/18/17:32:46.078135,720,1645223566,75958967,gps_data,42.337065,-71.09053833333333,13.1,327779.6618445961,4689317.792703424,19,T,4
2022/02/18/17:32:47.086099,721,1645223567,85705041,gps_data,42.337065,-71.09054166666667,13.1,327779.3872302307,4689317.7994546825,19,T,4
2022/02/18/17:32:48.084225,722,1645223568,82152128,gps_data,42.337065,-71.090545,13.1,327779.11261586525,4689317.806205953,19,T,4
2022/02/18/17:32:49.081373,723,1645223569,79188585,gps_data,42.337065,-71.09054833333333,13.0,327778.83800150186,4689317.812957233,19,T,4
2022/02/18/17:32:50.082723,724,1645223570,81085920,gps_data,42.337065,-71.09055166666667,13.0,327778.5633871342,4689317.819708523,19,T,4
2022/02/18/17:32:51.077105,725,1645223571,75726985,gps_data,42.337065,-71.09055333333333,13.0,327778.4260799546,4689317.823084173,19,T,4
2022/02/18/17:32:52.069928,726,1645223572,68265676,gps_data,42.337065,-71.090555,13.0,327778.28877277067,4689317.826459825,19,T,4
2022/02/18/17:32:53.086718,727,1645223573,84422111,gps_data,42.337065,-71.09055666666667,13.0,327778.15146558685,4689317.82983548,19,T,4
2022/02/18/17:32:54.078099,728,1645223574,77486991,gps_data,42.337065,-71.09055833333333,13.1,327778.0141584051,4689317.833211137,19,T,4
2022/02/18/17:32:55.075155,729,1645223575,73975086,gps_data,42.337066666666665,-71.09056166666667,13.0,327777.7440939571,4689318.025033106,19,T,4
2022/02/18/17:32:56.071124,730,1645223576,68862676,gps_data,42.337065,-71.090565,13.0,327777.4649296757,4689317.846713795,19,T,4
2022/02/18/17:32:57.110991,731,1645223577,108423948,gps_data,42.337065,-71.09057,13.0,327777.05300812796,4689317.856840815,19,T,4
2022/02/18/17:32:58.084146,732,1645223578,82889318,gps_data,42.337065,-71.09057333333334,13.0,327776.77839376,4689317.863592178,19,T,4
2022/02/18/17:32:59.105052,733,1645223579,102711915,gps_data,42.337065,-71.09057666666666,13.1,327776.5037793961,4689317.870343549,19,T,4
2022/02/18/17:33:00.078139,734,1645223580,77640771,gps_data,42.337066666666665,-71.09058,13.0,327776.23371498566,4689318.062165577,19,T,4
2022/02/18/17:33:01.096105,735,1645223581,93822479,gps_data,42.337066666666665,-71.09058333333333,13.0,327775.95910062897,4689318.068916971,19,T,4
2022/02/18/17:33:02.070452,736,1645223582,68125009,gps_data,42.337066666666665,-71.090585,13.0,327775.82179344853,4689318.072292671,19,T,4
2022/02/18/17:33:03.081761,737,1645223583,80024719,gps_data,42.337066666666665,-71.09058833333333,13.1,327775.5471790917,4689318.079044081,19,T,4
2022/02/18/17:33:04.083316,738,1645223584,80557107,gps_data,42.337066666666665,-71.09059166666667,13.0,327775.2725647328,4689318.085795501,19,T,4
2022/02/18/17:33:05.095304,739,1645223585,94857692,gps_data,42.337068333333335,-71.090595,13.0,327775.0025003643,4689318.277617579,19,T,4
2022/02/18/17:33:06.075712,740,1645223586,74120283,gps_data,42.33707,-71.090595,13.0,327775.007050355,4689318.462688224,19,T,4
2022/02/18/17:33:07.093087,741,1645223587,92455387,gps_data,42.33707,-71.090595,13.1,327775.007050355,4689318.462688224,19,T,4
2022/02/18/17:33:08.087502,742,1645223588,86979866,gps_data,42.337073333333336,-71.090595,13.0,327775.0161503368,4689318.832829516,19,T,4
2022/02/18/17:33:09.081923,743,1645223589,79269170,gps_data,42.337075,-71.090595,13.1,327775.02070032794,4689319.017900161,19,T,4
2022/02/18/17:33:10.079421,744,1645223590,75976610,gps_data,42.33707833333333,-71.09059333333333,13.1,327775.16710746574,4689319.384665737,19,T,4
2022/02/18/17:33:11.094257,745,1645223591,91792821,gps_data,42.33708,-71.09059333333333,13.1,327775.17165745364,4689319.569736384,19,T,4
2022/02/18/17:33:12.088778,746,1645223592,86122274,gps_data,42.33708166666667,-71.09059333333333,13.1,327775.1762074417,4689319.75480703,19,T,4
2022/02/18/17:33:13.086479,747,1645223593,84275007,gps_data,42.337085,-71.09059333333333,13.1,327775.18530741835,4689320.124948322,19,T,4
2022/02/18/17:33:14.081544,748,1645223594,80065011,gps_data,42.337086666666664,-71.09059166666667,13.1,327775.3271645417,4689320.306643253,19,T,4
2022/02/18/17:33:15.097202,749,1645223595,95302820,gps_data,42.337088333333334,-71.09059333333333,13.1,327775.19440739544,4689320.495089616,19,T,4
2022/02/18/17:33:16.072081,750,1645223596,70274591,gps_data,42.33709,-71.09059166666667,13.1,327775.3362645119,4689320.676784548,19,T,4
2022/02/18/17:33:17.092019,751,1645223597,89615583,gps_data,42.337091666666666,-71.09059166666667,13.1,327775.3408144972,4689320.861855194,19,T,4
2022/02/18/17:33:18.084272,752,1645223598,82805395,gps_data,42.337095,-71.09059,13.1,327775.487221585,4689321.228620775,19,T,4
2022/02/18/17:33:19.078439,753,1645223599,77315807,gps_data,42.33709666666667,-71.09059166666667,13.1,327775.35446445405,4689321.417067133,19,T,4
2022/02/18/17:33:20.076455,754,1645223600,74349403,gps_data,42.33709833333333,-71.09059,13.2,327775.4963215494,4689321.598762069,19,T,4
2022/02/18/17:33:21.071173,755,1645223601,69507360,gps_data,42.3371,-71.09059,13.2,327775.5008715319,4689321.783832716,19,T,4
2022/02/18/17:33:22.069539,756,1645223602,68069696,gps_data,42.33710333333333,-71.09059,13.2,327775.5099714971,4689322.153974009,19,T,4
2022/02/18/17:33:23.083830,757,1645223603,82711458,gps_data,42.337105,-71.09059,13.2,327775.51452148,4689322.339044656,19,T,4
2022/02/18/17:33:24.078104,758,1645223604,76617956,gps_data,42.337106666666664,-71.09058833333333,13.2,327775.65637855633,4689322.520739594,19,T,4
2022/02/18/17:33:25.076017,759,1645223605,75415372,gps_data,42.33711,-71.09058833333333,13.2,327775.66547851556,4689322.890880888,19,T,4
2022/02/18/17:33:26.068898,760,1645223606,66664934,gps_data,42.337111666666665,-71.09058833333333,13.2,327775.67002849537,4689323.075951535,19,T,4
2022/02/18/17:33:27.086609,761,1645223607,84551095,gps_data,42.337113333333335,-71.09058833333333,13.2,327775.6745784753,4689323.261022181,19,T,4
2022/02/18/17:33:28.076916,762,1645223608,74114322,gps_data,42.33711666666667,-71.09058833333333,13.2,327775.6836784357,4689323.631163476,19,T,4
2022/02/18/17:33:29.089164,763,1645223609,87203741,gps_data,42.33712,-71.09058666666667,13.2,327775.8300854588,4689323.997929065,19,T,4
2022/02/18/17:33:30.082745,764,1645223610,82232713,gps_data,42.33712166666667,-71.09058666666667,13.2,327775.83463543595,4689324.1829997115,19,T,4
2022/02/18/17:33:31.078495,765,1645223611,76408386,gps_data,42.33712333333333,-71.09058666666667,13.2,327775.8391854131,4689324.368070359,19,T,4
2022/02/18/17:33:32.069314,766,1645223612,67962884,gps_data,42.33712666666667,-71.09058833333333,13.2,327775.7109783202,4689324.741587359,19,T,4
2022/02/18/17:33:33.076974,767,1645223613,76322793,gps_data,42.33712833333333,-71.09058833333333,13.2,327775.71552830155,4689324.926658007,19,T,2
2022/02/18/17:33:34.078745,768,1645223614,76319217,gps_data,42.337131666666664,-71.09058833333333,13.3,327775.72462826455,4689325.296799302,19,T,2
